Ingredient,Calories,Proteins,Carbohydrates,Fats
Spaghetti,3,0.13,0.747,0.0151
Pilchards,0,0.0,0.0,0.0
Black Olives,1,0.0084,0.0604,0.109
Flour,3,0.103,0.763,0.0098
Butter,7,0.0085,0.0006,0.8109999999999999
Cheese,4,0.2289999999999999,0.0337,0.3329999999999999
Parmesan Cheese,3,0.358,0.0322,0.25
Plum tomatoes,0,0.0088,0.0389,0.002
Honey,3,0.003,0.8240000000000001,0.0
Butter Beans,1,0.0684,0.2019999999999999,0.0086
Tomatoes,0,0.0088,0.0389,0.002
Chicken Thighs,2,0.165,0.0025,0.166
Cayenne Pepper,3,0.12,0.5660000000000001,0.173
Greek Yogurt,0,0.073,0.033,0.053
Cumin,3,0.178,0.442,0.223
Sugar,3,0.0,1.0,0.0
Onion,0,0.011,0.0934,0.001
Swede,0,0.0108,0.0862,0.0016
Salt,0,0.0,0.0,0.0
Breadcrumbs,3,0.134,0.72,0.053
Water,0,0.0,0.0,0.0
Muscovado Sugar,3,0.0012,0.981,0.0
Plain Flour,3,0.103,0.763,0.0098
Ground Almonds,5,0.212,0.216,0.499
Lamb,6,0.0626999999999999,0.0,0.6890000000000001
Rice,3,0.0661,0.793,0.0058
Chicken Stock,0,0.0252,0.0353,0.012
olive oil,8,0.0,0.0,1.0
mozzarella balls,2,0.222,0.024,0.221
baby plum tomatoes,0,0.0088,0.0389,0.002
farfalle,3,0.13,0.747,0.0151
Green Olives,1,0.0103,0.0384,0.153
tuna,1,0.244,0.0,0.0049
Vanilla Extract,2,0.0006,0.126,0.0006
Sushi Rice,3,0.0661,0.793,0.0058
Rice wine,1,0.005,0.05,0.0
Peanut Cookies,4,0.0525,0.6586,0.2208
Ricotta,1,0.0754,0.0727,0.102
Peanut Butter,5,0.222,0.223,0.514
Golden Syrup,3,0.0,0.8390000000000001,0.0
Milk,0,0.0315,0.048,0.0325
Double Cream,3,0.0283999999999999,0.0283999999999999,0.361
Puff Pastry,5,0.073,0.451,0.381
Caster Sugar,3,0.0,1.0,0.0
Corn Flour,3,0.0846,0.766,0.0369
Whole Milk,0,0.0315,0.048,0.0325
Sunflower Oil,8,0.0,0.0,1.0
Spinach,0,0.0286,0.0363,0.0039
Hotsauce,0,0.0,0.0,0.0
Plain chocolate,4,0.042,0.639,0.3
Granulated Sugar,3,0.0,1.0,0.0
Red Wine,0,0.0007,0.0260999999999999,0.0
Basil,0,0.0315,0.0265,0.0064
Marjoram,2,0.127,0.606,0.0704
Diced Tomatoes,0,0.0079,0.0347,0.0025
Potatoes,0,0.0204999999999999,0.175,0.0009
Hazlenuts,0,0.0,0.0,0.0
Blackberrys,0,0.0139,0.0960999999999999,0.0049
Yogurt,0,0.0347,0.0466,0.0325
Peanuts,5,0.258,0.161,0.492
Chilli,0,0.0187,0.0881,0.0044
Prawns,0,0.136,0.0091,0.0101
Cabbage,0,0.0128,0.0579999999999999,0.001
Chinese Broccoli,0,0.0282,0.0664,0.0037
Chickpeas,3,0.205,0.63,0.0604
Paprika,2,0.141,0.54,0.129
Sour Cream,1,0.0244,0.0463,0.1939999999999999
Carrots,0,0.0093,0.0958,0.0024
Passata,0,0.0165,0.0898,0.0021
Tahini,5,0.17,0.212,0.538
Green Beans,0,0.0183,0.0697,0.0022
Duck Sauce,2,0.0036,0.6070000000000001,0.0013
Garlic,1,0.0636,0.331,0.005
Ginger,0,0.0182,0.178,0.0075
Butternut Squash,0,0.01,0.1169999999999999,0.001
Linguine Pasta,3,0.13,0.747,0.0151
