meal_name,recipe,ingredients,calories,proteins,carbohydrates,fats,image_url
Pilchard Puttanesca,"Cocine la pasta después de las instrucciones del paquete. Calienta el aceite en una sartén antiadherente y cocine la cebolla, el ajo y el chile durante 3-4 minutos para ablandar. Agregue el puré de tomate y cocine durante 1 minuto, luego agregue las pilases con su salsa. Cocine, rompiendo el pescado con una cuchara de madera, luego agregue las aceitunas y continúe cocinando por unos minutos más.

Escurra la pasta y agregue a la sartén con 2-3 cucharadas del agua de cocción. Mezcle todo bien, luego divida entre platos y sirva, dispersos con parmesano.","Espagueti, aceite de oliva, cebolla, ajo, chile rojo, puré de tomate, pilases, aceitunas negras, parmesano",970.0,39.588,228.328,12.16,https://www.themealdb.com/images/media/meals/vvtvtr1511180578.jpg
Tarta de queso crema,"Corteza: haga una masa de 250 g de harina (me gusta mezclar diferentes harinas como la harina deletra del granos lisos y integrales), 125 g de mantequilla, 1 huevo y una pizca de sal, presione en forma agria y colóquela en el refrigerador. Llenado: revuelva 300 g de queso crema y 100 ml de leche hasta que esté suave, agregue 3 huevos, 100 g de queso parmesano rallado y sazone con sal, pimienta y nuez moscada. Saca la corteza de la nevera y pincha el fondo con un tenedor. Vierta el relleno y hornee a 175 grados C durante unos 25 minutos. Cubra la tarta con un poco de papel de aluminio después de la mitad del tiempo. Mientras tanto, corte unos 350 g de mini tomates. En una sartén pequeña, calienta el aceite de oliva 3Tbsp, vinagre blanco de 3 tbsp, 1 cucharada de miel, sal y pimienta y combina bien. Vierta sobre las rodajas de tomate y mezcle bien. Con una cuchara, coloque las rodajas de tomate en la tarta, evitando demasiado líquido. Decorar con hojas de albahaca y disfrutar","Harina, mantequilla, huevo, sal, queso, leche, huevos, queso parmesano, tomates ciruelas, vinagre blanco, miel, albahaca",3170.0,134.4375,230.13,229.425,https://www.themealdb.com/images/media/meals/wurrux1468416624.jpg
Gigantes Plaki,"Remoje los frijoles durante la noche en abundante agua. Drene, enjuague, luego coloque en una sartén cubierta de agua. Lleve a ebullición, reduzca el fuego, luego cocine a fuego lento durante aproximadamente 50 minutos hasta que esté ligeramente tierno pero no suave. Drene, luego reserve.

Caliente el horno a 180 ° C/160c Ventilador/Gas 4. Calienta el aceite de oliva en una sartén grande, punta en la cebolla y el ajo, luego cocine a fuego medio durante 10 minutos hasta que se ablanden pero no se dore. Agregue el puré de tomate, cocine por un minuto adicional, agregue los ingredientes restantes y luego cocine a fuego lento durante 2-3 minutos. Sazone generosamente, luego agregue los frijoles. Incline en un plato grande a prueba de horno, luego hornee durante aproximadamente 1 hora, descubierta y sin revolver, hasta que los frijoles estén tiernos. Los frijoles absorberán todos los sabores fabulosos y la salsa se espesará. Dejar enfriar, luego esparcirse con perejil y rociar con un poco más de aceite de oliva para servir.","Frijoles de mantequilla, aceite de oliva, cebolla, diente de ajo, puré de tomate, tomates, azúcar, orégano seco, canela, perejil picado",400.0,34.4,111.92,5.04,https://www.themealdb.com/images/media/meals/b79r6f1585566277.jpg
Shawarma,"Combine los ingredientes de la marinada en una bolsa de tirolina grande (o tazón).
Agregue el pollo y use sus manos para asegurarse de que cada pieza esté recubierta. Si uso una bolsa Zipllock, me resulta conveniente cerrar la bolsa y luego masajear la bolsa para dispersar el roce sobre cada pieza de pollo.
Marinar durante la noche o hasta 24 horas.
Combine los ingredientes de la salsa de yogur en un tazón y mezcle. Cubra y coloque en el refrigerador hasta que se requiera (durará 3 días en el refrigerador).
Grilla de calor/barbacoa (o sartén grande en la estufa) en la estufa) en medio alto. No debe necesitar engrasarlo porque el marinado tiene aceite y también los filetes de muslo tienen grasa. Pero si está preocupado, engrase su placa/parrilla. (Ver notas para hornear)
Coloque el pollo en la parrilla y cocine el primer lado durante 4 a 5 minutos hasta que esté bien carbonizado, luego gire y cocine el otro lado durante 3 a 4 minutos (el segundo lado lleva menos tiempo).
Retire el pollo de la parrilla y cubra libremente con papel de aluminio. Ponga a un lado para descansar durante 5 minutos.
Servir
Corta pollo y apila sobre el plato junto con panes planos, ensalada y la salsa de yogur.
Para hacer una envoltura, obtenga un trozo de pan plano y manche con salsa de yogur. Cubra con un poco de lechuga y tomate y pollo shawarma. ¡Enrolla y disfruta!","Muslos de pollo, cilantro, comino, cardamomo, pimienta de cayena, pimentón, jugo de limón, aceite de oliva, yogurt griego, ajo, comino, jugo de limón, lechuga, tomate, pan de pita",2030.0,184.01,15.46,180.7,https://www.themealdb.com/images/media/meals/kcv6hj1598733479.jpg
Timbits,"Tamizar juntos ingredientes secos.
Mezcle los ingredientes húmedos e incorpore en seco. Revuelva hasta que esté suave.
Pase por cucharaditas (no más grandes) en aceite caliente (365 grados, sin más calor), girando después de unos momentos hasta que estén doradas en todos los lados.
Retirar y drenar.
Enrolle en azúcar de canela mientras aún está caliente y sirva.","Harina, azúcar, polvo de hornear, sal, huevo, leche, aceite, aceite, azúcar glas",195.0,0.0,65.0,0.0,https://www.themealdb.com/images/media/meals/txsupu1511815755.jpg
Paszteciki (empanadas polacas),"Tamizar la harina y la sal en un tazón grande.
Use una cuchara para empujar la yema de huevo a través de un tamiz fino hacia la harina.
Agregue el huevo crudo y mezcle bien.
Batir en mantequilla 1 cucharada a la vez.
Coloque la masa sobre una superficie enharinada y amase hasta que esté suave y elástico, luego envuelva en papel encerado y refrigere hasta que esté firme (al menos 30 minutos).
En una sartén pesada, derrita 2 cucharadas de mantequilla a fuego medio; Saltee la cebolla y la rutabaga hasta que la cebolla sea suave y transparente (5 minutos).
Coloque las cebollas, la rutabaga y la carne a través de un molinillo de carne dos veces si tiene una, si no solo píjelas lo más bien posible.
Derrite las 4 cucharadas restantes a la mantequilla a fuego medio y agregue la mezcla de carne.
Cocine a fuego lento, revolviendo ocasionalmente, hasta que todo el líquido se haya evaporado y la mezcla sea lo suficientemente espesa como para mantener su forma.
Retire del fuego y deje enfriar, luego agregue 1 huevo y sazone con sal y pimienta.
Precaliente el horno a 350 ° F.
En una superficie ligeramente enharinada, enrolle la masa en un rectángulo de 13x8 ""(1/8"" de espesor).
Coloque el relleno por el centro del rectángulo a lo largo, dejando aproximadamente una pulgada de espacio en cada extremo.
Cepille ligeramente los lados largos con agua fría, luego doble uno de los lados largos sobre el relleno y el otro lado sobre la parte superior de eso.
Cepille los extremos cortos con agua fría y dobla sobre la parte superior, encerrando el relleno.
Coloque la costura de la masa hacia abajo en una bandeja para hornear y cepille la parte superior uniformemente con el huevo revuelto restante.
Hornee en el horno precalentado hasta que esté rico dorado (30 minutos).
Corte la pastelería diagonalmente en trozos de 1.5 ""de largo y sirva como aperitivo o con sopa.","Harina, sal, huevo, huevo, mantequilla, mantequilla, cebolla, sueco, pechuga de carne, huevos, sal, pimienta",360.0,14.536,109.376,1.448,https://www.themealdb.com/images/media/meals/c9a3l31593261890.jpg
Carne de cerdo tonkatsu,"Paso 1
Retire el trozo grande de grasa en el borde de cada lomo de cerdo, luego golpea cada uno de los lomos entre dos piezas de pergamino para hornear hasta alrededor de 1 cm de espesor; puede hacerlo usando un ujidor de carne o un rodillo. Una vez atacado, use sus manos para remodelar la carne a su forma y grosor originales; este paso asegurará que la carne sea lo más suculenta posible.

Paso 2
Coloque la harina, los huevos y las migas de pan de Panko en tres tazones de borde ancho separados. Sazone la carne, luego sumerja primero en la harina, seguido de los huevos, luego las migas de pan.

Paso 3
En una gran sartén de frito o salteado, agregue suficiente aceite para subir a 2 cm por el costado de la sartén. Calienta el aceite a 180 ° C: si no tienes un termómetro, deja caer un poco de panko en el aceite y si se hunde un poco, entonces comienza a freír, el aceite está listo. Agregue dos chuletas de cerdo y cocine durante 1 minuto 30 segundos en cada lado, luego retire y deje descansar sobre una rejilla de alambre durante 5 minutos. Repita con las chuletas de cerdo restantes.

Paso 4
Mientras la carne de cerdo descansa, haga la salsa batiendo los ingredientes, agregando un toque de agua si es particularmente grueso. Corte el Tonkatsu y sirva rociado con la salsa.","Chopes de cerdo, harina, huevos, pan rallado, aceite vegetal, salsa de tomate, salsa de Worcestershire, salsa de ostras, azúcar de lanzadores",600.0,23.7,148.3,6.279999999999999,https://www.themealdb.com/images/media/meals/lwsnkl1604181187.jpg
Caldereta de carne de res,"0. Caliente el aceite en una olla. Saltee la cebolla y el ajo hasta que la cebolla se ablande
1. Agregue carne de res. Saltee hasta que la parte exterior se vuelva de color marrón claro.
2. Agregue la salsa de soja. Vierta la salsa de tomate y el agua. Deje hervir.
3. Agregue el cubo de carne de res Knorr. Cubra la olla a presión. Cocine por 30 minutos.
4. Zanahoria y papa de freír hasta que se dora. Dejar de lado.
5. Agregue el chile, la propagación del hígado y la mantequilla de maní. Remover.
6. Agregue pimientos, papa frita y zanahoria. Cubra la olla. Continúe cocinando durante 5 a 7 minutos.
7. Sazone con sal y pimienta negra molida. Atender.","Carne de res, caldo de carne, salsa de soja, agua, pimiento verde, pimiento rojo, papas, zanahorias, puré de tomate, mantequilla de maní, chile en polvo, cebolla, ajo, aceite de oliva",0.0,1.1,9.34,0.1,https://www.themealdb.com/images/media/meals/41cxjh1683207682.jpg
Tomates de cordero relleno,"Caliente el horno a 180c/160c ventilador/gas 4. Corta la parte superior de los tomates y reserva. Saca la mayor parte de la pulpa con una cucharadita, teniendo cuidado de no romper la piel. Pica finamente la pulpa y mantenga los jugos. Espolvorea el interior de los tomates con un poco de azúcar para quitar la acidez, luego colóquelos en una bandeja para hornear.

Caliente 2 cucharadas de aceite de oliva en una sartén grande, agregue la cebolla y el ajo, luego cocine suavemente durante unos 10 minutos hasta que esté suave pero no coloreado. Agregue el Purée de cordero, canela y tomate, suba el fuego, luego fríe hasta que la carne se dore. Agregue la pulpa de tomate y el jugo, el arroz y el caldo. Temporada generosamente. Lleve a ebullición, luego cocine a fuego lento durante 15 minutos o hasta que el arroz esté tierno y el líquido haya sido absorbido. Ponga a un lado para enfriar un poco, luego agregue las hierbas.

Llene los tomates hasta el borde, los tomates superiores con sus tapas, rocíen con 2 cucharadas más de aceite de oliva, espolvoree 3 cucharadas de agua en la bandeja, luego hornee durante 35 minutos. Servir con ensalada y pan crujiente, caliente o frío.","Tomates, azúcar, aceite de oliva, cebolla, ajo, cordero, canela, puré de tomate, arroz, caldo de pollo, eneldo, perejil picado, menta",1351.5,19.465,53.02,139.39,https://www.themealdb.com/images/media/meals/u55lbp1585564013.jpg
Penne de Arrabiata picante,"Lleva una olla grande de agua a ebullición. Agregue sal kosher al agua hirviendo, luego agregue la pasta. Cocine de acuerdo con las instrucciones del paquete, aproximadamente 9 minutos.
En una sartén grande a fuego medio-alto, agregue el aceite de oliva y caliente hasta que el aceite comience a brillar. Agregue el ajo y cocine, revolviendo, hasta que estén fragantes, de 1 a 2 minutos. Agregue los tomates picados, las hojuelas de chile rojo, el condimento italiano y la sal y la pimienta al gusto. Llevar a ebullición y cocine por 5 minutos. Retire del fuego y agregue la albahaca picada.
Escurra la pasta y agréguela a la salsa. Adorne con copos de parmigiano-reggiano y más albahaca y sirva tibio.","Penne Rigate, aceite de oliva, ajo, tomates picados, copos de chile rojo, condimento italiano, albahaca, parmigiano-reggiano",480.0,0.0,0.0,60.0,https://www.themealdb.com/images/media/meals/ustsqw1468250014.jpg
